question;categorie;niveau;reponse;reponseA;reponseB;reponseC;reponseD;commentaire
La mer est _____ . ;adjectif;A1;bleue;bleu;bleue;bleus;Bleues;adjectif qualificatif
Tu t’appelles comment ? ;verbe;A1;Je m’appelle Marie.;Je t’appelles Marie.;Tu t’appelles Marie. ;Je t’appelle Marie.;Je m’appelle Marie.;verbes pronominaux
Il habite _____ Canada.;préposition;A1;au;au;en;aux;à la;préposition de lieu
Vous êtes boulanger ?;verbe;A1;Non, je ne suis pas boulanger.;Non, Je ne suis boulanger.;Non, je ne suis pas boulanger.;Non, je n’est pas boulanger.;Non, Je n’est boulanger.;négation du verbe 
Vous avez quel âge ? ;verbe;A1;J’ai 20 ans.;Je suis 20 ans.;Vous suis 20 ans.;J’ai 20 ans.;Vous ai 20 ans.;verbe avoir 
Cochez la bonne phrase. ;verbe;A1;Nous adorons le printemps.;Nous adorons le printemps.;J’adores le printemps.;Tu adorez le printemps.;Il adorent le printemps.;verbes en “er”
Ils _____ français.;verbe;A1;sont;sont;sommes;es;est;verbe être
_____ étudie à la bibliothèque.;pronom;A1;J’;Je ;J’;Tu;T’;pronom sujet
Son fils mange _____ chocolat.;article;A1;du;de l’;de la;des;du;article partitif
Sarah est Max viennent des États-Unis ? ;adjectif;A1;Oui, ils sont américains.;Oui, ils sont américain.;Oui, ils sont américaine.;Oui, ils sont américains.;Oui, ils sont américaines.;adjectif qualificatif
Le chat de la voisine est noir ? ;adjectif;A1;Non, son chat est blanc.;Non, mon chat est blanc. ;Non, son chat est blanc.;Non, ton chat est blanc.;Non, sa chat est blanc.;adjectif possessif
_____ soir, nous allons au cinéma.;adjectif;A1;Ce;Ce;Cet;Cette;Ces;adjectif démonstratif
Il _____ passer son test.;verbe;A1;doit;doit;devons;dovent;Devez;verbe devoir
Nous _____ le bus pour aller à l’université.;verbe;A1;prenons;prendre;prend;prenons;Prends;verbe prendre
Vous _____ votre numéro hier ? ;verbe;A1;avez changé;avez changer;avez changé;avoir change;avoir changé;passé composé
À New York, il y a _____ gratte-ciel _____ à Paris.;nom;A2;plus de, qu’;plus, que;plus de, que;plus de, qu’;plus, qu’;comparatif de quantité 
Vous vous lavez les cheveux _____ jour.;adjectif;A2;chaque;tous;tout;chaque;chaques;adjectif indéfini
Nous _____ des employés.;verbe;A2;engageons;engajons;engageons;engagons;engajeons;verbes en “er”
_____ je fais du sport, je dors mieux. ;adverbe;A2;Depuis que;Depuis que;Il y a ;Pendant;Ça fait;adverbes de durée 
Cet enfant est bruyant, il joue _____.;adverbe;A2;bruyamment;bruyemment;bruyentment;bruyentement;bruyamment;adverbe de manière
Vous avez une carte de crédit ? ;pronom;A2;Oui, j’en ai une.;Oui, j’en ai un.;Oui, j’en ai une.;Oui, j’y ai un.;Oui, j’y ai une. ;pronom en
Ne cours pas _____ vite. ;adverbe;A2;aussi;aussi de;aussi;autant de;autant;comparatif de l’adverbe
C’est l’automne, les feuilles _____ . ;verbe;A2;jaunissent;jaunie;jaunient;jaunisse;jaunissent;verbes en “ir” 
_____ nous, il y a un espion. ;préposition;A2;Parmi ;Parmi ;Entre ;Sans;Environ ;complément circonstanciel de lieu 
" Vous connaissez Martine ? 
Oui, je _____ depuis quinze ans. ";pronom;A2;la connais;le connais;la connais;lui connais;leur connais;pronom COD
Ils _____ écrivent toujours en français. ;pronom;A2;leur;l';le;la;leur;pronom COI 
Anne _____ toujours en noir.;verbe;A2;s'habille;se habille;s'habille;se habiller;s'habiller;verbes pronominaux
Je souhaite _____ partir en vacances.;verbe;A2;partir;pars;est parti;partira;partir;infinitif
J'ai besoin d'un dictionnaire.;verbe;A2;donne-moi un dictionnaire s'il te plaît. ;donne-moi un dictionnaire s'il te plaît. ;donnes-moi un dictionnaire s'il te plaît. ;donner-moi un dictionnaire s'il te plaît. ;donna-moi un dictionnaire s'il te plaît. ;impératif
La femme _____ passe porte une robe _____ brille.;pronom;A2;qui, qui;que, qui;que, que;qui, que;qui, qui;pronom relatif simple
C'est la société _____ je suis le directeur. ;pronom;A2;dont;que ;qui;dont;où;pronom relatif simple
C’est ma ______ visite à Paris.;adjectif;A2;deuxième;deuxiem;deuxième;secondiem;secondième;adjectif ordinaire
Je n'ai _____ ami en France.;verbe;A2;aucun;pas;rien;plus;aucun;négation du verbe 
Vite : le train _____ !;verbe;A2;va partir;pars;partira;va partir;partir;futur proche
À cette époque-là, j'_____ les cheveux longs.;verbe;A2;avais;ai;ai eu;avais;avait;imparfait
Une loi _____.;verbe;B1;est votée;a voté;est votée;avait voté;avait eu votée;passif
Quand les pompiers sont arrivés, la maison _____.;verbe;B1;avait brûlé;brûle;a brûlé;avait brûlé;est brûlé;plus-que-parfait
Il m'a dit qu'il _____ allemand.;verbe;B1;était;est;sera;était;a;discours indirect
En 2025, nous _____ sur Mars.;verbe;B1;habiterons;habitons;habitions;avions habité;habiterons;futur simple
Imagine ! Je _____ une sirène dans l'océan. ;verbe;B1;serais;suis;serai;serais;sois;conditonnel présent
Demain, si je _____ tôt, je _____ chez toi.;verbe;B1;sors, passerai;sors, passe;suis sorti, passe;sors, passerai;suis sorti, suis passé;phrase de l'hypothèse 
Il _____ faire du piano mais il n'a plus de temps. ;verbe;B1;aurait aimé;a aimé;aimait ;avait aimé;aurait aimé;conditionnel passé
Il faut que tu _____ en avance.;verbe;B1;sois;es;seras;sois;serais;subjonctif présent 
J'adore cette maison, mais j'aime bien aussi _____, à droite, la bleue.;pronom;B1;celle-là;celui;celle-là;celle;celle-ci;pronom démonstratif
C'est Annie qui écrit _____.;adverbe;B1;le mieux;mieux;le mieux;meilleur;le meilleur;superlatif
Je _____ _____ intéresse.;pronom;B1;m'y;me l';me lui;m'en;m'y;double pronom 
Il y a quelqu'un dans le bureau? ;verbe;B1;Non, il n'y a personne.;Non, il n'y a rien.;Non, il n'y a personne.;Non, il n'y a aucun.;Non, il n'y a quelqu'un.;Négation du verbe 
______ la porte, il a réveillé tout le monde.;verbe;B1;Fermant;Fermant;Fermer;Fermé;se ferme;participe présent
Choisissez la bonne réponse: Ni lui, ni sa sœur n’avaient e...;verbe;B1;Ni lui, ni sa sœur n’avaient envie de faire ce voyage.;Ni lui, ni sa sœur avaient envie de faire ce voyage.;Ni lui, ni sa sœur n’auraient envie de faire ce voyage.;Ni lui, ni sa sœur n’avaient envie de faire ce voyage.;Ni lui, ni sa sœur ne avait envie de faire ce voyage.;Négation du verbe 
La route est bloquée, ______ nous allons arriver en retard.;adverbe;B1;donc;car;parce que;comme;donc;adverbe de conséquence
Il a appris le français ______ des films.;verbe;B1;en regardant;regardant;regarder;en regardant;avec regarder;gérondif
Bien qu’il ______ malade, il est venu;verbe;B1;soit;est;soit;était;serait;subjonctif présent 
Elles sont ______ très tôt ce matin.;verbe;B1;parties;parti;partie;partis;parties;accord du participe passé 
Ils partiront _____ ils seront prêts.;adverbe;B1;dès qu';Depuis qu';du fait qu';dès qu';quand qu';adverbe du temps
Il me demande _____ je peux l’aider demain.;conjonction;B1;si;de;à;si;en;expression de la conséquence
Nous avons discuté longtemps, ______ nous n’avons rien décidé.;adverbe;B1;pourtant;car;comme;grâce à;pourtant;adverbe d'opposition 
Elle a acheté une robe et elle l’a ______ à sa mère.;verbe;B1;donnée;donné;donnée;donnés;données;accord du participe passé 
Si tu étudiais davantage, tu ______ de meilleurs résultats.;verbe;B1;aurais;as;avais;auras;aurais;phrase de l'hypothèse 
"Je l’ai rencontré hier ; ______, il m’a écrit un message.";nom;B1;le lendemain;lendemain;le lendemain;domain;le domain;complément circonstentiel du temps
Le musée se trouve juste ______ la place centrale, à côté de l’arrêt de tram.;préposition;B1;en face de;sous;en face de;au-dessous de ;derrière;préposition de lieu
Quand j'_____, je sortirai.;verbe;B2;aurai dîné;a dîné;avais dîné;serai dîné;aurai dîné;futur antérieur
Quel est le cadeau _____ tu as pensé ?;pronom;B2;auquel;duquel;de laquelle;auquel;à laquelle;pronom relatif composé
Choisissez la bonne réponse: Elle voudrait que tu ailles l'...;verbe;B2;Elle voudrait que tu ailles l'attendre.;Elle veut que tu vas l'attendre.;Elle voudrait que tu vas l'attendre.;Elle voudrait que tu ailles l'attendre.;Elle voudrait que tu l'attendre.;subjonctif présent 
Elle voudrait qu’on ______ ce dossier avant la fin du mois.;verbe;B2;ait rendu;a rendu;ait rendu;aurait rendu;avait rendu;subjonctif passé 
Il ______ qu'il ______ dès qu'il ______ arrivé.;verbe;B2;avait promis, écrirait, serait;a promis, écrira, sera;avait promis, écrirait, serait;avait promis, écrira, serait;promettait, écrira, serait;discours indirect
Cette histoire est vraiment ______, tout le monde veut la lire.;adjectif;B2;captivante;captivant;captivante;captivé;captivée;adjectif verbal
Cette décision ______ par le ministre lors de la conférence de presse.;verbe;B2;a été annoncée ;annoncée;a annoncée;a été annoncée ;était annoncer;passif
Dans ce roman, ______ un événement mystérieux se prépare.;verbe;B2;il paraît qu';il paraît;il paraît qu';paraît;paraît qu';forme impersonnelle
Nous partirons ______, avant que la situation n’empire.;adverbe;B2;aussitôt;aussitôt;aussitôt que;aussitôt après;aussitôt-là;adverbe du temps
Il n’a rien avoué, mais ______ a remarqué son attitude étrange. Pourtant, ______ n’a voulu intervenir.;pronom;B2;quelqu’un, personne;personne, quelqu'n;quelqu’un, personne;chacun, aucun;aucun, chacun;pronom indéfini
"______ il avait oublié son passeport, il n’a pas pu embarquer ; ______ il était pourtant arrivé très tôt à l’aéroport.";conjonction;B2;comme, alors que ;parce que, puis que;puis que, car;alors que, comme;comme, alors que ;expression de la cause
"Elle ne sort presque jamais, ______ son frère passe ses soirées dehors ; ______, elle aime plutôt rester à la maison.";conjonction;B2;tandis que, en revanche;alors que, parce que;au lieu de, pourtant ;cependant, alors que;tandis que, en revanche;expression de l'opposition 
Les conclusions qu’elle ______ hier ont été reprises par toute l’équipe.;verbe;B2;a formulées;a formulé;a formulées;avait formulé;était formulé;accord du participe passé 
C’est une problématique à propos de ______ nous avons longuement discuté.;pronom;B2;laquelle;lequel;lesquels;laquelle;laquelles;pronom relatif composé
Elle est partie immédiatement après ______ compris la situation.;verbe;B2;avoir;avoir;avoir eu;avoir été;être;infinitif passé
Choisissez la bonne réponse: Il a failli se noyer en faisan...;verbe;B2;Il a failli se noyer en faisant de la planche à voile.;Il a failli se noyer en faire de la planche à voiler.;Il a failli se noyer en faisant de la planche à voile.;Il a failli se noyer après avoir fait de la planche à voile.;Il a failli se noyer en étant fait de la planche à voile.;gérondif
Elle _____ qu'elle avait oublié son parapluie au cinéma. ;verbe;B2;s'est souvenue ;s'est souvenu;s'est souvenue ;s'a souvenu;s'a sovenue ;passé composé 
Je l’ai cherché ______ et je ne l’ai trouvé ______.;adverbe;B2;partout, nulle part;par tout, nul part;par tout, nulle part;partout, nulle part;partout, nul part;adverbe de lieu
Choisissez la bonne réponse: Je me suis fait vacciner contr...;verbe;B2;Je me suis fait vacciner contre la grippe.;Je me suis fait vacciner contre la grippe.;Je me suis faite vacciner contre la grippe.;Je me suis fait vacciné contre la grippe.;Je me suis faite vacciné contre la grippe.;passif 
C’est quelque chose ______ elle n’a jamais pensé.;pronom;B2;à quoi;à quoi;à qui;auquel;à laquel;pronom relatif composé
Tu diras la vérité à tes parents.;verbe;B2;dis-la-leur;dis-la-lui;dis-lui-la;dis-la-leur;dis-leur-la;impératif
______ , il avait des crises de paludisme.;adverbe;B2;Périodiquement;À période;Par période;À périodique;Périodiquement;adverbe de fréquence
À peine avait-il ouvert la porte que le vent violent la ______ avec force.;verbe;B2;claqua;claquait;claque;avait claqué;claqua;passé simple 
Un ami ______ François, c’est rare, et une amitié ______ la nôtre, c’est beau !;adjectif;B2;tel que, telle que;tel que, tel que;tel que, telle que;telle que, tel que;telle que, telle que;expression de la comparaison 
Nous partirons tôt ______ il y ait des embouteillages.;conjonction;B2;de peur qu';de crainte de ;pour que;étant donné que;de peur qu';expression du but 
 Un nouveau centre commercial va être construit.;nom;C1;Construction d’un nouveau centre commercial.;Construire un nouveau centre commercial doit être fait.;Un nouveau centre commercial a été en construction.;Construction d’un nouveau centre commercial.;Le nouveau centre commercial se construit lui-même.;nominalisation
______ ses qualités indéniables, personne ne souhaitait lui confier la direction du projet.;conjonction;C1;Nonobstant;Malgré de;Faute que;Nonobstant;pourvu de ;connecteur logique 
Choisissez la bonne réponse: Il se demanda comment il avait...;adverbe;C1;Il se demanda comment il avait pu ne rien voir, lui qui prétendait être observateur.;Il se demanda comment il avait pu ne rien voir, lui qui prétendait être observateur.;Il se demanda comment il a pu ne rien voir, lui qui prétendait être observateur.;Il se demanda comment il pourrait ne rien voir, lui qui prétendait être observateur.;Il se demanda comment il pouvait n’avoir vu rien, lui qui prétendait être observateur.;concordance du temps 
Il a été contraint de partir;nom;C1;Une contrainte pesant sur lui l’a obligé à partir.;La contrainte à partir lui a été imposée.;Son départ a fait l’objet d’une contrainte dont il fut imposé.;Une contrainte pesant sur lui l’a obligé à partir.;Il fut sous la contrainte à son départ.;nominalisation
"Avez-vous lu notre proposition?
Oui, je ______ attentivement.A90";pronom;C1;l'ai lue;l'ai lu;l'ai lue;l'ai li;l'ai lie ;pronom COD, pronom COI, accord du participe passé
les enfants , est-ce que vous vous êtes _____ les mains avant de passer à table ? ;verbe;C1;lavé;lavé;lavée;lavés;lavées;accord du participe passé 
Peu de chercheurs, si compétents qu’ils ___, parviennent à maîtriser cette méthodologie.;verbe;C1;soient;seraient;seront;soient;étaient;subjonctif présent 
Il a nié ___ violé la procédure, tout en reconnaissant un manque de vigilance.;verbe;C1;d'avoir;avoir;d'avoir;d'être;être;prépositio du verbe 
Selon certaines sources, le ministre ___ démissionner demain.;verbe;C1;aurait;va;devez;aurait;aure;conditonnel présent
« Je viendrai demain », dit-elle → Elle affirma qu’elle ___ le lendemain.;verbe;C1;viendrait;viendra;viendrait;vienne;venait;discours indirect
___ très compétente, elle n’a pas été retenue pour le poste.;verbe;C1;Tout en étant;Étant;Ayant été;Après être;Tout en étant;gérondif
La politique selon ___ il a été jugé est controversée.;pronom;C1;laquelle;qui ;laquelle;dont;où;pronom relatif composé
Avec ce mauvais temps, les agriculteurs sont inquiets. Ils craignent que la grêle _____ toutes les récoltes.;verbe;C1;anéatisse;anéanit;anéatisse;anéatiraient;anéantie;subjonctif présent 
"Pourquoi est-ce qu'il se fâche comme ça ? 
Il ne faut pas vous inquiéter. Avec lui, ______ vous fassiez, il est toujours en colère.";conjonction;C1;quoi que;bien que;tandis que;à condition que;quoi que;expression de concession
"Vous avez gagnez votre procès ?
Non, on l'a perdu. Pourtant, ______ défendus par le meilleur avocat de Lyon.";verbe;C1;nous étions;nous étions;nous nous étions;nous nous avions;nous avions;imparfait
"Je suppose que Sylvie ne vient pas avec nous !
Et oui, comme d'habitude ! Elle habite à côté de la gare et en face d'un arrêt de bus, ______ elle fait toujours des histoires pour venir en ville.";conjonction;C1;pourtant;bien qu';quoique;malgré;pourtant;expression de l'opposition 
Nous receverons les résultats ______ peu.;adverbe;C1;d'ici;d'ici;dans;pour;en;adverbe du temps
Au ______, ils ont émis des objections. ;adverbe;C1;même moment;même moment;même tempe;fur et à mesure;moment;adverbe du temps
Il n'est pas intrvenu dans la discussion, ______ manque de courage.;préposition;C1;par;de peur;faute;par;car;préposition
Nous avons obtenu ces informations ______ bouche à l'oreille. ;préposition;C1;par;à;de;en;par;expression figée 
Je ne compte pas le nombre de miracles qu'il nous ______ pour être ici devant vous. ;verbe;C2;aura fallu;aura fallu;aurons fallu;eût fallu;ont fallu;
Les symphonies que j'ai ______ jouer lors de ce festival étaient d'une qualité vraiment médiocre. ;verbe;C2;entendues;entendu;entendue;entendus;entendues;accord du participe passé
"J'ai vu des photos de ton mariage. Ça n'avait pas l'air triste. 
Je dirais même plus : ce ______ une vraie folie. Rien n'allaient comme prévu. ";verbe;C2;fut;fut;fût;eut été;eût été;passé simple 
Elle a fait les soldes. Regardez les beaux pantalons qu'elle s'est ______ ! Tout ça pour seulement 30 euros.;verbe;C2;achetés;acheté;achetés;achetée;achetées;accord du participe passé 
"Comme c'est triste de voir une femme comme elle dans cet asile ! 
Oui et quend on sait que ce sont ses enfants qui l'ont ______ interner pour lui prendre l'argent, c'est vraiment une histoire horrible.";verbe;C2;faite;fait;faits;faite;faites;accord du participe passé 
______ Jacques dise, je ne le croira pas ! ;conjonction;C2;Quoi que;Quelque;Quoi que;Quoique;Quel que;expression de concession
"Avez-vous eu lz tzmps de voir votre oncle pendant sa visite ? 
Hélas, non. Il a dû rentrer chez lui précipitamment. Je regrette ______ si tôt. ";verbe;C2;qu'il soit parti;qu'il est parti;qu'il était parti;qu'il soit parti;parte;subjonctif passé 
Il est hors de question que je voie monsieur Morin aujourd'hui. Je ne le supporte plus. C'est vraiment la dernière personne ______;verbe;C2;que je veuille voir.;que je veux voir.;que je veuille voir.;que je voudrai voir.;que je voulais voir.;subjonctif présent 
J'en ai marre ! Tu fais vraiment le contraire de ce qu'il faut faire. De toute façon, tu ______ toujours qu'à ta tête. ;pronom;C2;n'en fais;n'en fais;n'y fais;n'en prends;n'y prends;pronom en
D'après les premières constantations de cource policière, l'incendie ______ par un mégot de cigarette oublié. Mais rien n'est encore confirmé. ;verbe;C2;aurait été provoqué;aurait été provoqué;aura été provoqué;avait été provoqué ;eut été provoqué;conditionnel passé
______ le volcan viendrait à entrer en éruption, toute la vallée envoronnante serait totalement détruite.;conjonction;C2;Au cas où;Le cas échant ;Sous réserve que;Encore faut-il que;Au cas où;expression de la condition
Étant donné la mauvaise ______ actuelle, mieux vaut s'abstenir de boursicoter.;nom;C2;conjoncture;conjonction;conjecteur;conjoncture;conjonctivite;nominalisation
Tout le monde était au courant dans l'entreprise. En effet, il a agi en toute impunité ______ tous ses collègues ! Quelle honte ! ;conjonction;C2;au vu et au su de;au vu et au su de;à l'issue de;en vue de;à l'insu de;expression figée 
Après sa lourde défaite aux dérnières élections, ses ambitions nationales ont été réduites ______;préposition;C2;à néant.;en néant.;dans le néant.;de néant.;à néant.;groupe prépositionnelle 
 Mes chers confrères académiciens, hier soir, s'est jouée une représentation fort remarquée de l'Avare de Molière. Le jeu des acteurs fut à la hauteur de l a mise en scène. Toutefois, j'aurais aimé que l'acteur qui interprétait Valère ______  plus proche du personnage imaginé par l'auteur.;verbe;C2;eût été;eût été;fusse;fut;fût;subjonctif plus-que-parfait
Elle ___ au marche hier.;verbe;A2;est allee;a alle;est allee;est alle;a allee;Passe compose avec etre pour les verbes de mouvement
Le chat ___ sur le toit.;verbe;A1;est;est;sont;;;
Test avec accents: é, à, û?;test;A1;oui;oui;non;;;
Cette question est tres longue pour tester les limites de lapplication. Elle contient beaucoup de texte pour voir comment le systeme gere les donnees volumineuses. Ceci est un test de stress pour le champ question.;test;B1;test;test;autre;;;
Test question valide?;verbe;A1;oui;oui;non;;;
